OBJECTID,osm_id,code,fclass,width,name,Shape_Leng
"1451","163383955","8101",river,"0",Κόζιακας,439.25720521400
"1452","163383957","8101",river,"0",,7432.70424385000
"1453","163383958","8101",river,"0",Κόζιακας,160.36993421000
"1454","163383959","8101",river,"0",,462.23734972300
"1455","163773468","8101",river,"0",,122.67144027300
"1456","163776096","8101",river,"0",,704.70126104200
"1457","163776103","8101",river,"0",,234.52954753100
"1458","163776104","8101",river,"0",,309.85152846300
"1459","163776107","8101",river,"0",,237.99214321700
"1460","163776108","8101",river,"0",,1389.65804675000
"1461","164867010","8104",drain,"0",,39.04577242510
"1462","164867012","8104",drain,"0",,99.50909607300
"1463","164867014","8104",drain,"0",,21.20847793440
"1464","164867015","8104",drain,"0",,125.19729804200
"1465","164867017","8104",drain,"0",,16.50490643590
"1466","164867020","8104",drain,"0",,66.54242488630
"1467","164867023","8104",drain,"0",,21.32614739530
"1468","164867033","8102",stream,"0",,3372.99058727000
"1469","164867035","8104",drain,"0",,34.92508637700
"1470","164867036","8104",drain,"0",,202.63529467000
"1471","164867044","8102",stream,"0",,94.89800242570
"1472","164880590","8102",stream,"0",Κληματσίδα,80.12774546930
"1473","164880592","8102",stream,"0",Μάρκου,500.63200881100
"1474","164880595","8101",river,"0",,70.60339657750
"1475","164880598","8101",river,"0",Δενδροπόταμος,98.72012801240
"1476","164880601","8101",river,"0",,191.75124371100
"1477","164880603","8101",river,"0",Μύλος,603.78250652000
"1478","164880612","8101",river,"0",Δενδροπόταμος,191.83123245800
"1479","164880614","8101",river,"0",,35.34458672330
"1480","164880617","8101",river,"0",,24.61002723070
"1481","164880627","8101",river,"0",Δενδροπόταμος,664.23758303900
"1482","164880628","8102",stream,"0",Κληματσίδα,500.93295071200
"1483","164880630","8102",stream,"0",Δενδροπόταμος,116.30118385200
"1484","164880634","8101",river,"0",,197.53486780900
"1485","164880636","8102",stream,"0",,1513.46885370000
"1486","164880637","8101",river,"0",,36.23347658880
"1487","164880653","8101",river,"0",,136.42325046300
"1488","164880654","8101",river,"0",,69.98226702900
"1489","164880655","8102",stream,"0",,139.68399645300
"1490","165479806","8102",stream,"0",,403.88521507000
"1491","165479811","8102",stream,"0",,314.35189779100
"1492","165479822","8102",stream,"0",Mavroneri,3838.90369893000
"1493","165479825","8102",stream,"0",,285.98271679400
"1494","165479826","8102",stream,"0",Μαυρονέρι,1262.75773029000
"1495","165479831","8102",stream,"0",,3052.49103661000
"1496","165479833","8102",stream,"0",,349.99426430600
"1497","165479866","8102",stream,"0",,299.91385952200
"1498","165479885","8102",stream,"0",,1148.59469026000
"1499","165479890","8102",stream,"0",,292.08182048400
"1500","165479902","8102",stream,"0",Μαυρονέρι,214.81991119700
"1501","165479909","8102",stream,"0",,369.39076473300
"1502","165546261","8102",stream,"0",,272.26777715400
"1503","165546263","8102",stream,"0",,2306.70433088000
"1504","165546287","8102",stream,"0",,1485.57843271000
"1505","165546293","8102",stream,"0",,612.92643483300
"1506","165546296","8102",stream,"0",,6960.98498677000
"1507","165546300","8102",stream,"0",,486.31576951800
"1508","165546307","8102",stream,"0",,428.45934815500
"1509","165546316","8102",stream,"0",,77.40129652720
"1510","165546328","8102",stream,"0",,2171.49706999000
"1511","165546338","8102",stream,"0",,3341.33274213000
"1512","165546340","8102",stream,"0",,241.27212904400
"1513","165546351","8102",stream,"0",,484.00915802500
"1514","165546356","8102",stream,"0",,2017.33575468000
"1515","165546360","8102",stream,"0",,69.85918701480
"1516","165556693","8101",river,"200",Στρυμόνας,704.90597544100
"1517","165556703","8101",river,"200",Στρυμόνας,12772.52545530000
"1518","165556709","8102",stream,"0",,1307.85035432000
"1519","165556715","8101",river,"200",Στρυμόνας,360.11036732200
"1520","165556724","8101",river,"200",Στρυμόνας,383.28962185400
"1521","165556730","8101",river,"200",Στρυμόνας,897.99082535600
"1522","165556734","8101",river,"200",Στρυμόνας,1917.31505316000
"1523","165556747","8101",river,"200",Στρυμόνας,279.55006272600
"1524","165556768","8101",river,"200",Στρυμόνας,778.72877734600
"1525","165556783","8101",river,"200",Στρυμόνας,2103.10405265000
"1526","165556792","8101",river,"200",Στρυμόνας,449.42265900300
"1527","165556793","8101",river,"200",Στρυμόνας,542.70561672300
"1528","165556799","8101",river,"200",Στρυμόνας,616.14019928000
